Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64
LNCAP_Hypoxia_S1 - illumina_universal_adapter	(1, 5.956576793438902e-06)	(2, 9.927627989064836e-06)	(3, 1.9855255978129673e-05)	(4, 5.5594716738763084e-05)	(5, 5.758024233657605e-05)	(6, 7.544997271689277e-05)	(7, 8.140654951033166e-05)	(8, 9.72907542928354e-05)	(9, 0.00010721838228190024)	(10, 0.0001330302150534688)	(11, 0.00014295784304253366)	(12, 0.00015089994543378553)	(13, 0.0001647986246184763)	(14, 0.00017472625260754113)	(15, 0.00019061045739004486)	(16, 0.00020450913657473564)	(17, 0.00024620517412880794)	(18, 0.0002799591092916284)	(19, 0.0003077564676610099)	(20, 0.00036335118439977305)	(21, 0.0004328445803232269)	(22, 0.0005162366554313715)	(23, 0.0005857300513548254)	(24, 0.0006691221264629701)	(25, 0.0008100944439076907)	(26, 0.0009510667613524113)	(27, 0.0011615324747205858)	(28, 0.0013918534440668902)	(29, 0.0016757836045541445)	(30, 0.0021662084272139476)	(31, 0.0026943582362321966)	(32, 0.003307885645956404)	(33, 0.0040326024891581365)	(34, 0.004896306124206777)	(35, 0.005811633424798556)	(36, 0.006935440913160695)	(37, 0.008297511473260391)	(38, 0.009772756992435426)	(39, 0.011424714289815814)	(40, 0.01343605172040035)	(41, 0.01591795871766656)	(42, 0.018872420807212256)	(43, 0.022170378825179592)	(44, 0.025577540751026646)	(45, 0.029264661786165325)	(46, 0.03344220764396381)	(47, 0.03802877177491176)	(48, 0.04335990800503958)	(49, 0.04969969123885638)	(50, 0.05701833859239498)	(51, 0.06574670912038079)	(52, 0.07564852527667405)	(53, 0.0867416567916551)	(54, 0.09864091169934822)	(55, 0.11146145048442654)	(56, 0.12529063627319387)	(57, 0.14024760060151895)	(58, 0.1571603076436898)	(59, 0.17664029928383282)	(60, 0.19837386247749358)	(61, 0.22407649134118243)	(62, 0.2538236358476163)	(63, 0.28663047530027996)	(64, 0.323499700126069)	(65, 0.3637582171473247)
LNCAP_Hypoxia_S1 - polya	(1, 0.001705566488521339)	(2, 0.0024958056764509)	(3, 0.003141101495740114)	(4, 0.004423751031927292)	(5, 0.005537630892300366)	(6, 0.006889773824410997)	(7, 0.008450396944291989)	(8, 0.011240060409219209)	(9, 0.01579684165619997)	(10, 0.021195485756653427)	(11, 0.0236873203819087)	(12, 0.02649683910281405)	(13, 0.02934209728448003)	(14, 0.03294979729570619)	(15, 0.035799026528567805)	(16, 0.03896593985707948)	(17, 0.04254584250993627)	(18, 0.044420178674271706)	(19, 0.04599470047333739)	(20, 0.04786903663767283)	(21, 0.050299319969395906)	(22, 0.05267996516117365)	(23, 0.0545404026463244)	(24, 0.05649415983457236)	(25, 0.05853925120031972)	(26, 0.061094622644705006)	(27, 0.06371551643381812)	(28, 0.06685661792955824)	(29, 0.06966415112486578)	(30, 0.07254117771609676)	(31, 0.0760079054098782)	(32, 0.07920063057116146)	(33, 0.08154355077658075)	(34, 0.08460324572281054)	(35, 0.08700573169616423)	(36, 0.08982319251946083)	(37, 0.09260292835639898)	(38, 0.09477310783480856)	(39, 0.09701278070914159)	(40, 0.09946689034803842)	(41, 0.10236575772084534)	(42, 0.10561407759886736)	(43, 0.1089735869103669)	(44, 0.11114178086317866)	(45, 0.1134152076726745)	(46, 0.11602220278260293)	(47, 0.11949885810437344)	(48, 0.12253075569223384)	(49, 0.12517150473732508)	(50, 0.1282331852091527)	(51, 0.1304252054691382)	(52, 0.13209900354809453)	(53, 0.13415203701623313)	(54, 0.13632420202024054)	(55, 0.13909003917799398)	(56, 0.1419094855268884)	(57, 0.14636103391718508)	(58, 0.14923011840602482)	(59, 0.15126726766938092)	(60, 0.15318727092246606)	(61, 0.15643161974929246)	(62, 0.16183423490094154)	(63, 0.16523941130119077)	(64, 0.17204976410168926)	(65, 0.17623128101068336)
LNCAP_Hypoxia_S1 - polyg	(1, 0.01621777308293632)	(2, 0.18122487788918298)	(3, 0.181691476404669)	(4, 0.18187811581086344)	(5, 0.1824082511454795)	(6, 0.18428655836101057)	(7, 0.1843679649105209)	(8, 0.18444937146003124)	(9, 0.18452680695834595)	(10, 0.18463005428943222)	(11, 0.18472933056932286)	(12, 0.18483257790040913)	(13, 0.1849159699755173)	(14, 0.18506488439535326)	(15, 0.185088710702527)	(16, 0.18512445016328763)	(17, 0.1851641606752439)	(18, 0.1852118132895914)	(19, 0.1852991764158952)	(20, 0.18543617768214427)	(21, 0.18569429600985995)	(22, 0.18573797757301186)	(23, 0.1858074709689353)	(24, 0.18588490646725)	(25, 0.18595042881197785)	(26, 0.18603382088708598)	(27, 0.18613706821817225)	(28, 0.18628995368920384)	(29, 0.18647460756980047)	(30, 0.18674861010229865)	(31, 0.18699481527642745)	(32, 0.18712784549148093)	(33, 0.18730654279528408)	(34, 0.18743361643354411)	(35, 0.18758848743017353)	(36, 0.18773541632441168)	(37, 0.18787241759066078)	(38, 0.18806898462484428)	(39, 0.18838071214370092)	(40, 0.18861698968984064)	(41, 0.18891084747831696)	(42, 0.1892662565603255)	(43, 0.189865885290865)	(44, 0.19041786140705702)	(45, 0.19076334286107646)	(46, 0.19106315722634623)	(47, 0.19136098606601817)	(48, 0.1916727135848748)	(49, 0.19319362619279953)	(50, 0.19422411397806447)	(51, 0.19459937831605112)	(52, 0.19705944453174137)	(53, 0.19769878377423716)	(54, 0.19795690210195285)	(55, 0.19823884673684228)	(56, 0.19850689269254704)	(57, 0.1988225912625993)	(58, 0.19907872406471716)	(59, 0.19936662527640006)	(60, 0.19965651201368076)	(61, 0.1999821382117221)	(62, 0.2003057788841656)	(63, 0.20067905769655442)	(64, 0.2010702062393236)	(65, 0.201532833703614)
LNCAP_Normoxia_S1 - illumina_universal_adapter	(1, 5.092796388654428e-05)	(2, 6.365995485818035e-05)	(3, 9.821821606690683e-05)	(4, 0.00015460274751272373)	(5, 0.0001655158826312689)	(6, 0.0002455455401672671)	(7, 0.0002546398194327214)	(8, 0.0003055677833192657)	(9, 0.0003546768913527191)	(10, 0.0004183368462108995)	(11, 0.0004619893866850803)	(12, 0.00048017794521598896)	(13, 0.000507460783012352)	(14, 0.0005201927739839881)	(15, 0.0005474756117803511)	(16, 0.0005783961612828958)	(17, 0.000616592134197804)	(18, 0.000643874971994167)	(19, 0.0006747955214967118)	(20, 0.0007329989087956195)	(21, 0.0008075719987723451)	(22, 0.0009076090706923428)	(23, 0.00102765355699634)	(24, 0.0011549734667127007)	(25, 0.001356866466405787)	(26, 0.0016660719614312344)	(27, 0.0021844458795621316)	(28, 0.0028828865271490244)	(29, 0.004012396011918453)	(30, 0.005758497630885685)	(31, 0.008081176555282723)	(32, 0.011296913703547377)	(33, 0.01550210843589346)	(34, 0.020040153789355176)	(35, 0.025496721348627776)	(36, 0.03156442447453891)	(37, 0.03887804385981729)	(38, 0.04743394179275673)	(39, 0.057614078002506314)	(40, 0.06977676709212494)	(41, 0.08407479295327225)	(42, 0.10080099137829586)	(43, 0.11872581581050635)	(44, 0.13842584355533355)	(45, 0.15879702910995125)	(46, 0.18084156204941257)	(47, 0.20541976119222946)	(48, 0.23319005235722082)	(49, 0.26419972579656703)	(50, 0.3000075409763669)	(51, 0.3399641663570671)	(52, 0.38408415278549224)	(53, 0.4319637142622562)	(54, 0.48291168556318453)	(55, 0.5372481853184211)	(56, 0.5933835335123645)	(57, 0.6516669504688083)	(58, 0.7150304318229348)	(59, 0.7856857062921027)	(60, 0.8636855206960514)	(61, 0.9504067489155709)	(62, 1.0451655011498988)	(63, 1.148214598362615)	(64, 1.2602979525976334)	(65, 1.378045223959177)
LNCAP_Normoxia_S1 - polya	(1, 0.002259018969538857)	(2, 0.0027555666174326637)	(3, 0.0032157371482646534)	(4, 0.0041469913450471775)	(5, 0.00494910677626025)	(6, 0.005820338729890775)	(7, 0.0071008132504667455)	(8, 0.009607196616025961)	(9, 0.01365051317744696)	(10, 0.01832679157574358)	(11, 0.02042757008606353)	(12, 0.022915764893091835)	(13, 0.02531119805161251)	(14, 0.028803401289546973)	(15, 0.031016948862758558)	(16, 0.03370703666947995)	(17, 0.03721924732179842)	(18, 0.03889805127420129)	(19, 0.04041315819982598)	(20, 0.04213743354855612)	(21, 0.04425094404984771)	(22, 0.0463444471367553)	(23, 0.04787046719749854)	(24, 0.04952926373551741)	(25, 0.05099526155310864)	(26, 0.05324882395508823)	(27, 0.05567881537481763)	(28, 0.05847621567687138)	(29, 0.060875286547098235)	(30, 0.06321797288587927)	(31, 0.06595535094478103)	(32, 0.06867999701271114)	(33, 0.07101358907222673)	(34, 0.07356180612240704)	(35, 0.07586447763242007)	(36, 0.07822353367387892)	(37, 0.08040434184173488)	(38, 0.08221410341556029)	(39, 0.08418756201616388)	(40, 0.0862756085355122)	(41, 0.08892204380175942)	(42, 0.09178492291452443)	(43, 0.09451320669416073)	(44, 0.09626840259239342)	(45, 0.0980254173464792)	(46, 0.09990247658686897)	(47, 0.10255618727652854)	(48, 0.10496617128187395)	(49, 0.10717426228752626)	(50, 0.10962971768919894)	(51, 0.11160863285736179)	(52, 0.11318376202613849)	(53, 0.1149535087711959)	(54, 0.11702154787616022)	(55, 0.11912232638648017)	(56, 0.12131768540116085)	(57, 0.12622313963694692)	(58, 0.1285567316964625)	(59, 0.13019915853180355)	(60, 0.1317651934213148)	(61, 0.13434251216514453)	(62, 0.13854043147407827)	(63, 0.14180345887452328)	(64, 0.15768934589541891)	(65, 0.1625329590321999)
LNCAP_Normoxia_S1 - polyg	(1, 0.015631247201462913)	(2, 0.23350289556395246)	(3, 0.23407947286938224)	(4, 0.2342922790041939)	(5, 0.23503437219225495)	(6, 0.23757349496316982)	(7, 0.23766625661167745)	(8, 0.2377735691070098)	(9, 0.23788997588160762)	(10, 0.23803002778229562)	(11, 0.23813188371006871)	(12, 0.23830649387196542)	(13, 0.23841744407900398)	(14, 0.2385702279706636)	(15, 0.2386102427994316)	(16, 0.23866117076331814)	(17, 0.23869936673623304)	(18, 0.23873756270914795)	(19, 0.23877575868206288)	(20, 0.23886852033057052)	(21, 0.23904676820417342)	(22, 0.23910497159147232)	(23, 0.23915226184365268)	(24, 0.2392304726453356)	(25, 0.23929777031189994)	(26, 0.2393468794199334)	(27, 0.23939598852796687)	(28, 0.23947965589720904)	(29, 0.23961243237448468)	(30, 0.23977794825711593)	(31, 0.23995619613071884)	(32, 0.24005623320263883)	(33, 0.2401853719682083)	(34, 0.24032906158060247)	(35, 0.24042727979666936)	(36, 0.24051458487761773)	(37, 0.2406419047873341)	(38, 0.24076013041778502)	(39, 0.24089108803920756)	(40, 0.24104205307501408)	(41, 0.2411984746783799)	(42, 0.24132761344394935)	(43, 0.24169320347042061)	(44, 0.24205333692933262)	(45, 0.24228978819023442)	(46, 0.2425517034330795)	(47, 0.24276269071203804)	(48, 0.24301733053147076)	(49, 0.24402133896237693)	(50, 0.2446288368173093)	(51, 0.2449416800240409)	(52, 0.24713158247116232)	(53, 0.2475917530019943)	(54, 0.24780455913680594)	(55, 0.24800645213649902)	(56, 0.24825017882081318)	(57, 0.24846480381147792)	(58, 0.24871944363091064)	(59, 0.24897954001790262)	(60, 0.249206896999539)	(61, 0.24947790652164953)	(62, 0.24973800290864154)	(63, 0.2500199255658706)	(64, 0.25032549334918985)	(65, 0.2506801702405426)
LNCAP_Normoxia_S2 - illumina_universal_adapter	(1, 1.6483150264473646e-05)	(2, 2.0978554882057367e-05)	(3, 3.446476873480853e-05)	(4, 5.844026002858838e-05)	(5, 5.993872823444962e-05)	(6, 8.091728311650699e-05)	(7, 8.391421952822947e-05)	(8, 9.590196517511938e-05)	(9, 0.00010189583799856435)	(10, 0.0001228743928806217)	(11, 0.0001333636703216504)	(12, 0.0001408560113509566)	(13, 0.00015883762982129147)	(14, 0.0001783177164974876)	(15, 0.00019779780317368375)	(16, 0.00022027482626160234)	(17, 0.000236757976526076)	(18, 0.0002517426585846884)	(19, 0.0002892043637312194)	(20, 0.0003416507509363628)	(21, 0.00040608488378839617)	(22, 0.00047501442125801323)	(23, 0.0005679194500214101)	(24, 0.0006443413285203333)	(25, 0.0007567264439599264)	(26, 0.0008511299409291846)	(27, 0.001009967570750476)	(28, 0.001234737801629662)	(29, 0.0014969697376553792)	(30, 0.001888069939385163)	(31, 0.0023825644473193723)	(32, 0.0029684655158111173)	(33, 0.003653265485889704)	(34, 0.004490909212966137)	(35, 0.005379500859041853)	(36, 0.006456899499056085)	(37, 0.0076916373006857474)	(38, 0.009103194350607035)	(39, 0.010950805648433945)	(40, 0.013110098333079993)	(41, 0.015834313531335728)	(42, 0.019117457370377705)	(43, 0.022886104908118723)	(44, 0.02703686183835436)	(45, 0.0314348660225571)	(46, 0.03629140147775338)	(47, 0.041715856382971074)	(48, 0.04798694582450036)	(49, 0.05553772711383515)	(50, 0.06450755779412054)	(51, 0.07523808861629289)	(52, 0.08786867712349727)	(53, 0.10274397100308182)	(54, 0.12001681401204432)	(55, 0.13791152132643927)	(56, 0.15744255592163467)	(57, 0.17809894013943187)	(58, 0.2004935474760281)	(59, 0.22596600850746332)	(60, 0.25503928863758313)	(61, 0.288366720004143)	(62, 0.3271365878943908)	(63, 0.37071803719365914)	(64, 0.42074140130992493)	(65, 0.474206746895054)
LNCAP_Normoxia_S2 - polya	(1, 0.0024215246206717644)	(2, 0.0034060182319225994)	(3, 0.00408332586097188)	(4, 0.005446931928305609)	(5, 0.006386471493380607)	(6, 0.007475857879041728)	(7, 0.008839463946375458)	(8, 0.011165086601872102)	(9, 0.015128535006375083)	(10, 0.019866691473308325)	(11, 0.021906106701485472)	(12, 0.02439206545500927)	(13, 0.026957443023443713)	(14, 0.029952880966960336)	(15, 0.032294986772721454)	(16, 0.035101617722299555)	(17, 0.038023630723728975)	(18, 0.03984426959385038)	(19, 0.041270811325830284)	(20, 0.0429056401384249)	(21, 0.044834168719368316)	(22, 0.04693801808039749)	(23, 0.04853538518784558)	(24, 0.050245137410733255)	(25, 0.051947397292591624)	(26, 0.05426552760705896)	(27, 0.05631393364447128)	(28, 0.05890628364061122)	(29, 0.061228909359696146)	(30, 0.06342866068590045)	(31, 0.06616186669339134)	(32, 0.06894002674705808)	(33, 0.07096295882497076)	(34, 0.07349537009287625)	(35, 0.07562169647699336)	(36, 0.0780057593925186)	(37, 0.08034636673007385)	(38, 0.08227039990639969)	(39, 0.08425437181095996)	(40, 0.0863986798135474)	(41, 0.08914986743950863)	(42, 0.09192203362035194)	(43, 0.09431358887690647)	(44, 0.09620315728449749)	(45, 0.09822758783061603)	(46, 0.1004558100527317)	(47, 0.10343026944136625)	(48, 0.1059881546687714)	(49, 0.10833175894273837)	(50, 0.11106046954561169)	(51, 0.11308040468711264)	(52, 0.11484709870182305)	(53, 0.11675165179147269)	(54, 0.11908476678799863)	(55, 0.12143736187120079)	(56, 0.12375998759028571)	(57, 0.1284412022653962)	(58, 0.13069339997880566)	(59, 0.13252302965816223)	(60, 0.13425825584054957)	(61, 0.1372521953158603)	(62, 0.14157078068515241)	(63, 0.1442155770684975)	(64, 0.1516494778377751)	(65, 0.1541743967646513)
LNCAP_Normoxia_S2 - polyg	(1, 0.014404774862944104)	(2, 0.15806292175886122)	(3, 0.15840906791441517)	(4, 0.15865481670017642)	(5, 0.15951044204572318)	(6, 0.16306930403464362)	(7, 0.1631367351039074)	(8, 0.16322214779164146)	(9, 0.16333603137528693)	(10, 0.16347838585484376)	(11, 0.16357578628822472)	(12, 0.16369566374469363)	(13, 0.16380804886013323)	(14, 0.16396239108533692)	(15, 0.16401184053613035)	(16, 0.16406128998692376)	(17, 0.16411523484233478)	(18, 0.1641766720387751)	(19, 0.1642336138305978)	(20, 0.16432801732756708)	(21, 0.16447486721174148)	(22, 0.16454979062203454)	(23, 0.16462920943694517)	(24, 0.16469963744262064)	(25, 0.16476107463906098)	(26, 0.1648524811996185)	(27, 0.16494838316479363)	(28, 0.16505177747099806)	(29, 0.16524657833776002)	(30, 0.16551180721019745)	(31, 0.16581299931957555)	(32, 0.16601379405916097)	(33, 0.16618761637104087)	(34, 0.16632247850956838)	(35, 0.16648731001221312)	(36, 0.16662516908715236)	(37, 0.16676452663029745)	(38, 0.16694134587858908)	(39, 0.16717061151408585)	(40, 0.1673923848085533)	(41, 0.16760666576199146)	(42, 0.16778947888310652)	(43, 0.16807268937401432)	(44, 0.16862412567377125)	(45, 0.1690317090257655)	(46, 0.16935537815823154)	(47, 0.16960712081681623)	(48, 0.1698738481574595)	(49, 0.1701765387350435)	(50, 0.17046124769415713)	(51, 0.17073846431224146)	(52, 0.17104864723085472)	(53, 0.1713738148315266)	(54, 0.17167950234552232)	(55, 0.17199567913695904)	(56, 0.17231635133301335)	(57, 0.17265950055215556)	(58, 0.17299515743026847)	(59, 0.17336378060891033)	(60, 0.1737413945967874)	(61, 0.1741010269661941)	(62, 0.17453108734127626)	(63, 0.17500010788971082)	(64, 0.1754571406924985)	(65, 0.17600857699225544)
PC3_Normoxia_S2 - illumina_universal_adapter	(1, 0.00011166990439322016)	(2, 0.00015633786615050821)	(3, 0.00027983164277359875)	(4, 0.0005465256497362304)	(5, 0.0007015497523056419)	(6, 0.0008946729987268579)	(7, 0.0009748125771737572)	(8, 0.0010930512994724608)	(9, 0.0011679358235949732)	(10, 0.0012874883094747735)	(11, 0.0013807655237326399)	(12, 0.001470101447247216)	(13, 0.001613301677586757)	(14, 0.0017249715819799773)	(15, 0.0018550341765085515)	(16, 0.0019667040809017715)	(17, 0.002109904311241313)	(18, 0.0022228879792156294)	(19, 0.002347695519419817)	(20, 0.0024698755324618106)	(21, 0.002574976618949547)	(22, 0.00277335491969515)	(23, 0.003007204837130364)	(24, 0.003352724658958798)	(25, 0.00373502986105794)	(26, 0.004223749913225916)	(27, 0.0047886682530975)	(28, 0.005592691564728685)	(29, 0.006730410825958434)	(30, 0.008264886688679389)	(31, 0.01022370818809458)	(32, 0.012663367158191167)	(33, 0.015573353490320374)	(34, 0.018750033829412212)	(35, 0.02186365351661141)	(36, 0.025389794968274974)	(37, 0.02935736098318703)	(38, 0.033745331344050035)	(39, 0.039168547406817245)	(40, 0.045285430640403516)	(41, 0.05306159727691493)	(42, 0.0629292755345323)	(43, 0.07351689623459066)	(44, 0.08390219734316015)	(45, 0.09410094402321388)	(46, 0.10553462846949853)	(47, 0.1179194777484972)																		
