Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57
LNCAP_Hypoxia_S1	(1, 31.363598858862844)	(2, 31.29705768138501)	(3, 31.407079526534744)	(4, 31.40720131867491)	(5, 31.39929422109995)	(6, 34.75906433138676)	(7, 34.71475558040904)	(8, 34.66713848711448)	(9, 34.67164465731397)	(10, 34.57342051736523)	(12, 34.6610849571061)	(14, 34.57799884156495)	(16, 34.53108438606893)	(18, 34.481489510726384)	(20, 34.42895814230096)	(22, 34.35034681572722)	(24, 34.280645402219996)	(26, 34.133776806837886)	(28, 34.05444761931757)	(30, 33.990931222886324)	(32, 33.897704123868664)	(34, 33.810988271196024)	(36, 33.727010858467175)	(38, 33.58012403605596)	(40, 33.44788374790608)	(42, 33.298804208399005)	(44, 33.16336696840567)	(46, 33.00817745252126)	(48, 32.86597114314286)	(50, 32.72259504668337)	(52, 32.5843618805728)	(54, 32.464910498898455)	(56, 32.34598510551065)	(58, 32.222049819066484)	(60, 32.13106353764346)	(62, 31.980192381859457)	(64, 31.870159818583268)	(66, 31.73490259063453)	(68, 31.61248407008793)	(70, 31.46600186634446)	(72, 31.327302400892673)	(74, 31.16344831928824)	(76, 28.494891395442835)															
LNCAP_Hypoxia_S2	(1, 31.36294086760845)	(2, 31.30369021127641)	(3, 31.403434429303662)	(4, 31.404807475934494)	(5, 31.403686960870107)	(6, 34.745006000750095)	(7, 34.69420852606576)	(8, 34.6589554944368)	(9, 34.675110888861106)	(10, 34.58530516314539)	(12, 34.6707263407926)	(14, 34.59062920365046)	(16, 34.53221021377672)	(18, 34.49100212526566)	(20, 34.44821677709714)	(22, 34.383275409426176)	(24, 34.31881229296756)	(26, 34.17191489157146)	(28, 34.09890988454303)	(30, 34.02973170392178)	(32, 33.94251660267129)	(34, 33.86129215872765)	(36, 33.770910986024376)	(38, 33.62164934110067)	(40, 33.5038569816145)	(42, 33.385050525312536)	(44, 33.248956958501864)	(46, 33.09725488062564)	(48, 32.960857255551915)	(50, 32.824780800975645)	(52, 32.703796980745224)	(54, 32.587014774709786)	(56, 32.48941683636802)	(58, 32.37077798196489)	(60, 32.28371612317281)	(62, 32.13611540109859)	(64, 32.052227552216365)	(66, 31.905497502528114)	(68, 31.774043874304557)	(70, 31.627325854310524)	(72, 31.504335398942338)	(74, 31.364360462955872)	(76, 28.69654322788618)															
LNCAP_Normoxia_S1	(1, 31.33966107221771)	(2, 31.27601059359852)	(3, 31.409173705062848)	(4, 31.416704968739506)	(5, 31.408763771330676)	(6, 34.767240252560505)	(7, 34.724393137835186)	(8, 34.682241208005486)	(9, 34.68833937696694)	(10, 34.5950694310026)	(12, 34.67760217977506)	(14, 34.599063856718686)	(16, 34.558464465868056)	(18, 34.511278306808165)	(20, 34.46124856669611)	(22, 34.382863991525)	(24, 34.32479659642526)	(26, 34.1853926691318)	(28, 34.10857291254218)	(30, 34.04925112818863)	(32, 33.95596134719163)	(34, 33.86620274826126)	(36, 33.791014325780964)	(38, 33.64399275184914)	(40, 33.51399695540786)	(42, 33.319599280090756)	(44, 33.189225561823726)	(46, 33.02819492439879)	(48, 32.89792569224199)	(50, 32.75534479581161)	(52, 32.617223836746376)	(54, 32.5022820045681)	(56, 32.39632473921436)	(58, 32.272166382069294)	(60, 32.18214457748853)	(62, 32.045120566720826)	(64, 31.935683160220805)	(66, 31.846204415929513)	(68, 31.748575794128847)	(70, 31.577678871020666)	(72, 31.412644230036925)	(74, 31.24055670693288)	(76, 28.599981291966255)															
LNCAP_Normoxia_S2	(1, 31.358064507138224)	(2, 31.29121986340683)	(3, 31.40399365152966)	(4, 31.39907545410779)	(5, 31.396119306000635)	(6, 34.75254125223032)	(7, 34.70994035557092)	(8, 34.66097138860771)	(9, 34.65525148072634)	(10, 34.54992982973086)	(12, 34.638454858405545)	(14, 34.55556675993532)	(16, 34.51057731994047)	(18, 34.46058571585782)	(20, 34.41321000270683)	(22, 34.33448152460629)	(24, 34.26882097411353)	(26, 34.12448324229436)	(28, 34.04305488284618)	(30, 33.97763522871779)	(32, 33.88789847736335)	(34, 33.7973914180138)	(36, 33.71073782910745)	(38, 33.5662607918442)	(40, 33.4308215651571)	(42, 33.28490256093046)	(44, 33.172978051596274)	(46, 33.00678454356199)	(48, 32.8621264776758)	(50, 32.719534224384354)	(52, 32.57710728001245)	(54, 32.44534458907142)	(56, 32.33842145414284)	(58, 32.20661213218747)	(60, 32.11001497998258)	(62, 31.975772240447462)	(64, 31.860729790415398)	(66, 31.744943854401228)	(68, 31.6187170783728)	(70, 31.442471370280913)	(72, 31.301375761616047)	(74, 31.136980357142043)	(76, 28.490742736874363)															
PC3_Hypoxia_S1	(1, 31.937305037175)	(2, 32.075277160202084)	(3, 31.090488356035976)	(4, 30.103664592164233)	(5, 30.715728840637006)	(6, 34.38062702797965)	(7, 35.4258758925818)	(8, 35.745350975065776)	(9, 35.74173456551597)	(10, 35.79629713413665)	(11, 35.745035849316736)	(12, 35.74773107232126)	(13, 36.03271884333038)	(14, 35.88278322728039)	(15, 35.868307847617984)	(16, 35.92694734251035)	(17, 35.99300796507438)	(18, 36.11373883199762)	(19, 35.78545191631072)	(20, 35.99960783347666)	(21, 35.80924216735645)	(22, 35.98451579439272)	(23, 35.86096136981476)	(24, 35.72242938835663)	(25, 35.771364325212645)	(26, 35.85743660993169)	(27, 35.8583705157547)	(28, 35.86605405923104)	(29, 35.91294199681068)	(30, 35.704743518711176)	(31, 35.53666631968439)	(32, 35.60958871927021)	(33, 35.3343636919277)	(34, 35.33982056925926)	(35, 35.46258774406747)	(36, 35.71845766403848)	(37, 35.759334793295814)	(38, 35.526044824710894)	(39, 35.686511776875285)	(40, 35.441136953246854)	(41, 35.353736972034156)	(42, 35.3466134156688)	(43, 35.48333331964348)	(44, 35.37918405368904)	(45, 35.403274734906326)	(46, 35.57438875611309)	(47, 35.66699901259456)	(48, 35.673942295890235)	(49, 35.6798756677754)	(50, 35.73279797313162)	(51, 35.807934013980635)	(52, 35.6335994259123)	(53, 35.580650776111966)	(54, 35.66050973444379)	(55, 35.65334386762777)	(56, 35.62593898269346)	(57, 35.79545955210984)	(58, 35.488318714078396)
PC3_Hypoxia_S2	(1, 31.861939542010184)	(2, 31.989975811776258)	(3, 31.04987072999852)	(4, 30.0628056688575)	(5, 30.667933904985443)	(6, 34.35034886759562)	(7, 35.32968077882806)	(8, 35.65639731901483)	(9, 35.664211449933795)	(10, 35.65674263185198)	(11, 35.680984372148544)	(12, 35.641560927837716)	(13, 35.929766644545126)	(14, 35.8168752038984)	(15, 35.896532774679144)	(16, 35.88812998154895)	(17, 35.99953458737156)	(18, 36.09482403013921)	(19, 35.81400566140041)	(20, 35.99922979477534)	(21, 35.79494939680259)	(22, 35.96553142897108)	(23, 35.83497143499697)	(24, 35.67832409721687)	(25, 35.77132357725074)	(26, 35.90225333703571)	(27, 35.82861245740758)	(28, 35.861671181713824)	(29, 35.89549295582456)	(30, 35.7187129504651)	(31, 35.52943987985748)	(32, 35.68545385052596)	(33, 35.38958003994012)	(34, 35.319086212904544)	(35, 35.45195298626191)	(36, 35.728270329056095)	(37, 35.729516719509064)	(38, 35.50341798552962)	(39, 35.703338520622474)	(40, 35.48936503032517)	(41, 35.36648142461951)	(42, 35.353993652439605)	(43, 35.5062435144993)	(44, 35.412047690128745)	(45, 35.459320967152195)	(46, 35.58716461023467)	(47, 35.67646556341016)	(48, 35.72738078968114)	(49, 35.70144993510877)	(50, 35.77462181582624)	(51, 35.83306588032322)	(52, 35.65541790662517)	(53, 35.617620749262386)	(54, 35.65790617060942)	(55, 35.63379809948403)	(56, 35.616046045378965)	(57, 35.806602993205296)	(58, 35.51691454000949)
PC3_Normoxia_S1	(1, 33.06146479957304)	(2, 33.05875853633115)	(3, 33.096940162878965)	(4, 33.103094535206125)	(5, 33.10461645722034)	(6, 36.841222624194394)	(7, 37.12608478558998)	(8, 37.226305907823026)	(9, 37.257552595476284)	(10, 37.14744389847233)	(11, 37.13811110339943)	(12, 37.12823134888628)	(13, 37.195871323663546)	(14, 37.24411661124986)	(15, 37.267541168804186)	(16, 37.30071247487238)	(17, 37.299049834600865)	(18, 37.30070470684384)	(19, 37.29717264021938)	(20, 37.297225181311234)	(21, 37.29227326548057)	(22, 37.29245582753937)	(23, 37.27311418220748)	(24, 37.286676723688025)	(25, 37.28831709729409)	(26, 37.24063762747256)	(27, 37.26048345884975)	(28, 37.24816032386878)	(29, 37.24126102870484)	(30, 37.238346494350985)	(31, 37.22017479097495)	(32, 37.22054755396321)	(33, 37.230087805797304)	(34, 37.222530632600694)	(35, 37.21488447300767)	(36, 37.22127735717588)	(37, 37.194760683778036)	(38, 37.199531451315146)	(39, 37.182129382197914)	(40, 37.18603788741464)	(41, 37.18580080127569)	(42, 37.18444333627638)	(43, 37.1844405390704)	(44, 37.17788925692255)	(45, 37.17051474529947)	(46, 37.174466532605244)	(47, 37.16769161491879)	(48, 37.156167800606596)	(49, 37.161317771515954)	(50, 37.15847119479008)	(51, 37.15260668506741)	(52, 37.1416091432432)	(53, 37.14950405837485)	(54, 37.17160217029782)	(55, 37.172542994669165)	(56, 37.18201747940894)	(57, 37.2042961974691)	(58, 37.04768812821236)
PC3_Normoxia_S2	(1, 33.06011428071879)	(2, 33.04292051976519)	(3, 33.076465556419365)	(4, 33.0797244201009)	(5, 33.09066276399054)	(6, 36.8388952335996)	(7, 37.133590651750495)	(8, 37.226240622595355)	(9, 37.260195602461366)	(10, 37.1431029179597)	(11, 37.14088693325336)	(12, 37.13678121090085)	(13, 37.20368974708172)	(14, 37.24427898905474)	(15, 37.26532773634168)	(16, 37.29085396560629)	(17, 37.287778417971545)	(18, 37.29105186851506)	(19, 37.285777526633176)	(20, 37.28919452961708)	(21, 37.27835865044755)	(22, 37.28804526820539)	(23, 37.26816411462272)	(24, 37.27631828453337)	(25, 37.281399790176586)	(26, 37.23761119315384)	(27, 37.241283461873934)	(28, 37.24022135081346)	(29, 37.22904691536723)	(30, 37.22382751208153)	(31, 37.2087320136353)	(32, 37.209085725059765)	(33, 37.2189205737871)	(34, 37.211934859652175)	(35, 37.20675162083672)	(36, 37.20567197762673)	(37, 37.186011469512025)	(38, 37.18465498171968)	(39, 37.18135437697357)	(40, 37.179980187812525)	(41, 37.17640222925375)	(42, 37.1764798350748)	(43, 37.18476153106195)	(44, 37.1743349445469)	(45, 37.16966079346144)	(46, 37.17137485833056)	(47, 37.16351849668647)	(48, 37.1491409377467)	(49, 37.15092564495295)	(50, 37.14819770749696)	(51, 37.13652434680891)	(52, 37.11982909397351)	(53, 37.13016266800089)	(54, 37.1529085870161)	(55, 37.160108807765454)	(56, 37.16852428910053)	(57, 37.19272113374907)	(58, 37.03896440349584)
