Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
LNCAP_Hypoxia_S1	(0.0, 0.0013145859161769796)	(1.0, 0.0008963085792115771)	(2.0, 0.00043037939373112853)	(3.0, 0.00039104770924251926)	(4.0, 0.0004008806303646716)	(5.0, 0.00044248145049685444)	(6.0, 0.0005914880244248551)	(7.0, 0.0008607587874622571)	(8.0, 0.001020354661060268)	(9.0, 0.0012555883894440657)	(10.0, 0.0017948862940667277)	(11.0, 0.0028076771696484166)	(12.0, 0.0035262367901133943)	(13.0, 0.00455415523665224)	(14.0, 0.007777084229074629)	(15.0, 0.01333268466309069)	(16.0, 0.019988815884239956)	(17.0, 0.02334032922979818)	(18.0, 0.03167108255590477)	(19.0, 0.0535311789675451)	(20.0, 0.07964287919669452)	(21.0, 0.09225170958948523)	(22.0, 0.11906305997540319)	(23.0, 0.19145529441233214)	(24.0, 0.29121330471075885)	(25.0, 0.3454017766363925)	(26.0, 0.41280039990036377)	(27.0, 0.5765208057198435)	(28.0, 0.7849522602602977)	(29.0, 0.8970354589960684)	(30.0, 1.0568552206442452)	(31.0, 1.372064634785795)	(32.0, 1.7459417946133926)	(33.0, 1.9643801373420064)	(34.0, 2.131865039194175)	(35.0, 2.422623760397671)	(36.0, 2.621250279822244)	(37.0, 2.6966355041730465)	(38.0, 2.84941565067631)	(39.0, 3.17605470105454)	(40.0, 3.477899662633989)	(41.0, 3.6008285733674943)	(42.0, 3.595747978661532)	(43.0, 3.6007468844843253)	(44.0, 3.65685580154297)	(45.0, 3.651036981374299)	(46.0, 3.5940945351559153)	(47.0, 3.569426761574626)	(48.0, 3.451036122128269)	(49.0, 3.2895228289114384)	(50.0, 3.221741478102251)	(51.0, 3.2054248800678615)	(52.0, 2.9630751423058164)	(53.0, 2.659013235202596)	(54.0, 2.580947405278185)	(55.0, 2.515158355564055)	(56.0, 2.3188698022309113)	(57.0, 2.0823903183787915)	(58.0, 1.9764655537796796)	(59.0, 1.896338592312356)	(60.0, 1.752495814730581)	(61.0, 1.5775568022892732)	(62.0, 1.4663139401201728)	(63.0, 1.3603029483666051)	(64.0, 1.1331375099528072)	(65.0, 0.9189379126063888)	(66.0, 0.782433519695931)	(67.0, 0.7388767046389877)	(68.0, 0.6747970704430167)	(69.0, 0.5402796839777815)	(70.0, 0.4221931087076628)	(71.0, 0.37456622068469625)	(72.0, 0.3139349162884093)	(73.0, 0.21352944595301623)	(74.0, 0.14864956325341164)	(75.0, 0.12354838476420035)	(76.0, 0.1072257357014275)	(77.0, 0.07718464891615644)	(78.0, 0.053602278551043735)	(79.0, 0.04373305125859424)	(80.0, 0.036067154676054716)	(81.0, 0.024375811461815607)	(82.0, 0.017366451458816715)	(83.0, 0.014381781708969556)	(84.0, 0.011635371201697628)	(85.0, 0.0075728620211530035)	(86.0, 0.0056622498092640215)	(87.0, 0.005070005406291309)	(88.0, 0.004738711602329561)	(89.0, 0.004392290227410656)	(90.0, 0.004831746163716079)	(91.0, 0.005422477809593077)	(92.0, 0.005557113191111778)	(93.0, 0.006727230804647904)	(94.0, 0.008791387861752032)	(95.0, 0.012102813144273793)	(96.0, 0.01451944260467969)	(97.0, 0.018916271103377492)	(98.0, 0.03361648818099522)	(99.0, 0.024967299486240463)	(100.0, 0.006013209455470074)
LNCAP_Hypoxia_S2	(0.0, 0.0013243319412286256)	(1.0, 0.0008670086809482369)	(2.0, 0.0004001578527453401)	(3.0, 0.00043350434047411844)	(4.0, 0.00047637839612540484)	(5.0, 0.0005430713715829616)	(6.0, 0.0007622054338006478)	(7.0, 0.0010003946318633504)	(8.0, 0.001067087607320907)	(9.0, 0.0013005130214223553)	(10.0, 0.0016577968185164092)	(11.0, 0.0023009076532857055)	(12.0, 0.0028392152409074133)	(13.0, 0.0038300823048482554)	(14.0, 0.006616895922181874)	(15.0, 0.011614105297537373)	(16.0, 0.017687929848136285)	(17.0, 0.020631948336191287)	(18.0, 0.0280634513157476)	(19.0, 0.047747406643649334)	(20.0, 0.0716997124008347)	(21.0, 0.08346149500117094)	(22.0, 0.1088953375703063)	(23.0, 0.17764150391516348)	(24.0, 0.2718358041810398)	(25.0, 0.32278447364665186)	(26.0, 0.3887057161024854)	(27.0, 0.5534087827788828)	(28.0, 0.7681029983446804)	(29.0, 0.8839010588748438)	(30.0, 1.0392099435796482)	(31.0, 1.3600698485059535)	(32.0, 1.750447652778839)	(33.0, 1.975312547101914)	(34.0, 2.148914362217934)	(35.0, 2.471103362869429)	(36.0, 2.6877745487791467)	(37.0, 2.7558156750977383)	(38.0, 2.914011412883063)	(39.0, 3.2379915963039894)	(40.0, 3.5254097378222915)	(41.0, 3.6495110737969205)	(42.0, 3.652178792815223)	(43.0, 3.6565757654114606)	(44.0, 3.7141889686388665)	(45.0, 3.6880739049632725)	(46.0, 3.608466311186756)	(47.0, 3.598705317850146)	(48.0, 3.48411249466218)	(49.0, 3.2968052730896322)	(50.0, 3.2141964954175255)	(51.0, 3.217011891738627)	(52.0, 2.9753451313842088)	(53.0, 2.64159442705875)	(54.0, 2.552363989680501)	(55.0, 2.4910016884755875)	(56.0, 2.3008361965262867)	(57.0, 2.06342825903323)	(58.0, 1.9550045360750878)	(59.0, 1.8752063909401213)	(60.0, 1.7278577892345726)	(61.0, 1.5526077048679583)	(62.0, 1.4449128408558882)	(63.0, 1.3391473093481256)	(64.0, 1.1098568597250458)	(65.0, 0.8912801602308263)	(66.0, 0.7569605076593071)	(67.0, 0.7175783056516198)	(68.0, 0.654462931948965)	(69.0, 0.5199432004510731)	(70.0, 0.40512647941692814)	(71.0, 0.361771281585555)	(72.0, 0.30261937613866347)	(73.0, 0.20382326056621572)	(74.0, 0.14006001224483028)	(75.0, 0.11592191891315602)	(76.0, 0.10084930645974821)	(77.0, 0.07417211627672554)	(78.0, 0.053049498192525094)	(79.0, 0.04353622162190075)	(80.0, 0.0360046791791581)	(81.0, 0.02386179386192153)	(82.0, 0.016758991975691744)	(83.0, 0.014272296747917131)	(84.0, 0.011356860963629653)	(85.0, 0.006955124583430911)	(86.0, 0.004601815306571411)	(87.0, 0.00373004284166192)	(88.0, 0.0035490190511342666)	(89.0, 0.00330606606911031)	(90.0, 0.0034156331002191532)	(91.0, 0.0033394125568390882)	(92.0, 0.0030869320068926238)	(93.0, 0.003968232039724622)	(94.0, 0.005416422363945854)	(95.0, 0.007207605133377376)	(96.0, 0.008427133827458412)	(97.0, 0.010437450659107622)	(98.0, 0.01701147252563821)	(99.0, 0.012352491811531748)	(100.0, 0.0031345698465051644)
LNCAP_Normoxia_S1	(0.0, 0.0020368997210417996)	(1.0, 0.0012652627606879797)	(2.0, 0.000456881183174454)	(3.0, 0.0004658940137985328)	(4.0, 0.0005123447562457078)	(5.0, 0.000518584408216224)	(6.0, 0.0005927669371990261)	(7.0, 0.0007640107190565224)	(8.0, 0.0008645384452481702)	(9.0, 0.001035088932442276)	(10.0, 0.0014538389091302427)	(11.0, 0.0021720921804029808)	(12.0, 0.002647692319488983)	(13.0, 0.0034734062635872758)	(14.0, 0.006085047260579944)	(15.0, 0.01076270635447682)	(16.0, 0.01616624496094373)	(17.0, 0.018724502268855317)	(18.0, 0.02587237024841316)	(19.0, 0.04349661388646748)	(20.0, 0.06425454940304764)	(21.0, 0.07456176116367678)	(22.0, 0.09730598589087124)	(23.0, 0.16054901838003188)	(24.0, 0.24764762694180223)	(25.0, 0.2942841723587661)	(26.0, 0.3524737800464721)	(27.0, 0.49674423973009096)	(28.0, 0.6927864784024084)	(29.0, 0.8027346924802085)	(30.0, 0.9777943681650072)	(31.0, 1.3205079459402655)	(32.0, 1.7432672456666207)	(33.0, 1.9982769686389685)	(34.0, 2.208489456936328)	(35.0, 2.531842087941738)	(36.0, 2.7124467343443355)	(37.0, 2.77992926370013)	(38.0, 2.9710796152275627)	(39.0, 3.3994989725858398)	(40.0, 3.8438544010768143)	(41.0, 4.032305756479667)	(42.0, 4.013662369686428)	(43.0, 3.938710283627263)	(44.0, 3.9202499266251594)	(45.0, 3.908302379690948)	(46.0, 3.8398062535372763)	(47.0, 3.863331821350112)	(48.0, 3.7508232700804096)	(49.0, 3.49408932328021)	(50.0, 3.3733818693212494)	(51.0, 3.3245413401693664)	(52.0, 3.009465260855514)	(53.0, 2.6466814958697595)	(54.0, 2.550140213992608)	(55.0, 2.4398287135111913)	(56.0, 2.1410852698774963)	(57.0, 1.830062191165826)	(58.0, 1.7074925477409983)	(59.0, 1.6246590879484075)	(60.0, 1.4633883498237859)	(61.0, 1.2981242344380342)	(62.0, 1.2113022504469566)	(63.0, 1.1150313534885277)	(64.0, 0.9105427059321217)	(65.0, 0.7292101001329642)	(66.0, 0.6263501306936703)	(67.0, 0.5965294473372472)	(68.0, 0.5437225794161064)	(69.0, 0.4297504831119868)	(70.0, 0.3356884229511205)	(71.0, 0.30278257834260897)	(72.0, 0.2489038768718661)	(73.0, 0.16238832912200735)	(74.0, 0.10979360936786405)	(75.0, 0.08986138779538218)	(76.0, 0.07784173821617807)	(77.0, 0.056608202560511904)	(78.0, 0.04019375811007431)	(79.0, 0.03299666620941573)	(80.0, 0.027523104841946356)	(81.0, 0.01872796874217227)	(82.0, 0.01306929769957759)	(83.0, 0.010733587978614411)	(84.0, 0.009023230044029619)	(85.0, 0.006374844429877246)	(86.0, 0.004964683084540614)	(87.0, 0.004491856124108175)	(88.0, 0.004464817632235939)	(89.0, 0.0046090229222211995)	(90.0, 0.005348768328059048)	(91.0, 0.0065779797662507125)	(92.0, 0.007240769464452197)	(93.0, 0.009092559510368685)	(94.0, 0.012499409486270457)	(95.0, 0.017376044148560456)	(96.0, 0.020692765818221437)	(97.0, 0.02760352702289967)	(98.0, 0.04822557678545527)	(99.0, 0.034656413633573)	(100.0, 0.007378041807803551)
LNCAP_Normoxia_S2	(0.0, 0.002421523628940707)	(1.0, 0.001734303663591307)	(2.0, 0.0008520386956282185)	(3.0, 0.0006666889124426958)	(4.0, 0.0006758138248456753)	(5.0, 0.0007339851414146702)	(6.0, 0.0008566011518297082)	(7.0, 0.0010710365932997286)	(8.0, 0.0012267304111755676)	(9.0, 0.0014691108968797127)	(10.0, 0.0020285820885873984)	(11.0, 0.0029941118822276757)	(12.0, 0.0036414103558140396)	(13.0, 0.0046394476498899315)	(14.0, 0.007848565280612814)	(15.0, 0.013263060177730823)	(16.0, 0.019712092018536645)	(17.0, 0.023004474474936715)	(18.0, 0.03236777521444414)	(19.0, 0.05376740572050682)	(20.0, 0.07773284753288232)	(21.0, 0.08967108449110556)	(22.0, 0.11466878201906812)	(23.0, 0.17877813533430192)	(24.0, 0.26432532972628586)	(25.0, 0.3108064928930135)	(26.0, 0.36337340232550336)	(27.0, 0.4949785920715267)	(28.0, 0.6818134547506344)	(29.0, 0.7895752483876722)	(30.0, 0.9676422108615669)	(31.0, 1.273593109742145)	(32.0, 1.6318411628322995)	(33.0, 1.8621533815764792)	(34.0, 2.050079811901793)	(35.0, 2.2874501503896774)	(36.0, 2.413834749627146)	(37.0, 2.4907714485528683)	(38.0, 2.69072565403936)	(39.0, 3.1200037361953834)	(40.0, 3.5494352309411816)	(41.0, 3.7472331055654444)	(42.0, 3.744926783955591)	(43.0, 3.694551564420892)	(44.0, 3.7026413695731586)	(45.0, 3.7834247893837625)	(46.0, 3.805747746963601)	(47.0, 3.8124066517896757)	(48.0, 3.6929033771181037)	(49.0, 3.4865440534317456)	(50.0, 3.406255660119004)	(51.0, 3.354330916396874)	(52.0, 3.0539935495652037)	(53.0, 2.745809328373997)	(54.0, 2.6860696674857394)	(55.0, 2.5822338674100838)	(56.0, 2.315885658665463)	(57.0, 2.0334485184333126)	(58.0, 1.9135306305544302)	(59.0, 1.8204536725089129)	(60.0, 1.6619493816129558)	(61.0, 1.5065988885662789)	(62.0, 1.416681431440293)	(63.0, 1.321500040471838)	(64.0, 1.1054192632341557)	(65.0, 0.8930220990721509)	(66.0, 0.7636667705404873)	(67.0, 0.7257379315234522)	(68.0, 0.6649831241303638)	(69.0, 0.533352270568207)	(70.0, 0.41587928890629816)	(71.0, 0.3692857752556089)	(72.0, 0.3121826437447879)	(73.0, 0.21547168933478356)	(74.0, 0.14956187674103685)	(75.0, 0.12327300410805268)	(76.0, 0.1073631490264326)	(77.0, 0.0787479940377138)	(78.0, 0.05653453540671037)	(79.0, 0.047034931288183444)	(80.0, 0.0389434152148413)	(81.0, 0.02666584557663227)	(82.0, 0.01917771433593715)	(83.0, 0.01587506635308373)	(84.0, 0.013026382762278542)	(85.0, 0.008712010116744757)	(86.0, 0.006562522938817879)	(87.0, 0.005879295122644783)	(88.0, 0.005465252222359584)	(89.0, 0.0050392328745454745)	(90.0, 0.005445291476478066)	(91.0, 0.005875873280493665)	(92.0, 0.005886138806947017)	(93.0, 0.007218946324807222)	(94.0, 0.008867703934620596)	(95.0, 0.010942480892248078)	(96.0, 0.012702448371972765)	(97.0, 0.016233219164900677)	(98.0, 0.027284628698959326)	(99.0, 0.0200451513212454)	(100.0, 0.005285605509425923)
PC3_Hypoxia_S1	(0.0, 0.0003312959487181873)	(1.0, 0.00033780790839815165)	(2.0, 0.0004778150415173856)	(3.0, 0.0006381720486365081)	(4.0, 0.0007216065320360517)	(5.0, 0.000846554758395368)	(6.0, 0.001076101337114112)	(7.0, 0.00134146369407266)	(8.0, 0.0016524097687909587)	(9.0, 0.002135108780068318)	(10.0, 0.0025632701290259747)	(11.0, 0.0031648124044626838)	(12.0, 0.003752923763059466)	(13.0, 0.0046804710199743905)	(14.0, 0.005648718024889092)	(15.0, 0.007660506568518085)	(16.0, 0.012265683054692889)	(17.0, 0.015299035273116289)	(18.0, 0.01931080943345434)	(19.0, 0.0232476960574728)	(20.0, 0.030666446122872205)	(21.0, 0.03803472850075189)	(22.0, 0.04698175410354293)	(23.0, 0.07234420906708416)	(24.0, 0.08906895651263265)	(25.0, 0.11446112229221371)	(26.0, 0.14000306314443395)	(27.0, 0.17837559955358398)	(28.0, 0.2715959303621939)	(29.0, 0.3275792477308476)	(30.0, 0.4220515027879307)	(31.0, 0.5172461783720098)	(32.0, 0.701070660187804)	(33.0, 0.8850550920132374)	(34.0, 1.310954348977067)	(35.0, 2.1616181539304926)	(36.0, 2.593164500929291)	(37.0, 2.9040519680104704)	(38.0, 3.2150590923507685)	(39.0, 3.465591275133158)	(40.0, 3.712685957199486)	(41.0, 4.646337769316897)	(42.0, 4.82122621446186)	(43.0, 4.060713165322902)	(44.0, 3.6994251653061987)	(45.0, 3.345666618669454)	(46.0, 3.6114998717123594)	(47.0, 3.931939976646566)	(48.0, 3.9883526763566173)	(49.0, 3.7948799122799954)	(50.0, 3.606994409608784)	(51.0, 3.402103331230825)	(52.0, 3.1935203787118063)	(53.0, 3.1151139421801552)	(54.0, 2.726939688634799)	(55.0, 2.413507673308674)	(56.0, 2.0161332417279683)	(57.0, 1.6234181172982773)	(58.0, 1.5219845773433123)	(59.0, 1.425715428412039)	(60.0, 1.4320922649286443)	(61.0, 1.4199564140700707)	(62.0, 1.415505082631335)	(63.0, 1.4340609117393934)	(64.0, 1.4532504359238083)	(65.0, 1.4261407407786368)	(66.0, 1.1564308367387526)	(67.0, 0.9225822946564319)	(68.0, 0.7936300270888976)	(69.0, 0.6461874570075844)	(70.0, 0.5152250288863408)	(71.0, 0.39799673072762237)	(72.0, 0.3334078586418957)	(73.0, 0.24087738856188198)	(74.0, 0.21024228124496966)	(75.0, 0.2715242988057143)	(76.0, 0.33517911167484604)	(77.0, 0.3542795034111415)	(78.0, 0.24923793079599627)	(79.0, 0.1263767875141085)	(80.0, 0.10210305080956134)	(81.0, 0.079868371479803)	(82.0, 0.07653424812366123)	(83.0, 0.0726832379679223)	(84.0, 0.07092785783669191)	(85.0, 0.0656466585362408)	(86.0, 0.060971071486026394)	(87.0, 0.04144536738313323)	(88.0, 0.01979472943717169)	(89.0, 0.010719499628181348)	(90.0, 0.0035054692952208194)	(91.0, 0.0032140590995424143)	(92.0, 0.0022279042055078097)	(93.0, 0.0011489538860337135)	(94.0, 0.0009413851712348491)	(95.0, 0.0007745162044357622)	(96.0, 0.0006861977512762454)	(97.0, 0.0006149731922766351)	(98.0, 0.0005885183560767798)	(99.0, 0.0005730524518368645)	(100.0, 0.000563284512316918)
PC3_Hypoxia_S2	(0.0, 0.0012333946805556943)	(1.0, 0.0012516042476898828)	(2.0, 0.0014312719767472083)	(3.0, 0.0016242933883696053)	(4.0, 0.0017032015126177552)	(5.0, 0.0018707295302522885)	(6.0, 0.002222781161513264)	(7.0, 0.0026853041667216494)	(8.0, 0.0034416081883616076)	(9.0, 0.004180916614009656)	(10.0, 0.004673788897775023)	(11.0, 0.005450730428833727)	(12.0, 0.00607592556710753)	(13.0, 0.007101731182333476)	(14.0, 0.008182165498961988)	(15.0, 0.010334536334223057)	(16.0, 0.014797094253241494)	(17.0, 0.01800561998228549)	(18.0, 0.02233949696022233)	(19.0, 0.02632496422032503)	(20.0, 0.033504389555764374)	(21.0, 0.040845273053126865)	(22.0, 0.04986386466911924)	(23.0, 0.07458153109706657)	(24.0, 0.09105511949779567)	(25.0, 0.11472998471452515)	(26.0, 0.13853353087233622)	(27.0, 0.17542975579962877)	(28.0, 0.26474404067939605)	(29.0, 0.31862614982945947)	(30.0, 0.410741066134465)	(31.0, 0.5038344431801475)	(32.0, 0.6846639426206342)	(33.0, 0.8651620279392788)	(34.0, 1.2843098442340275)	(35.0, 2.108806266849237)	(36.0, 2.521313660995718)	(37.0, 2.8434154102055227)	(38.0, 3.166330520080655)	(39.0, 3.435707074638988)	(40.0, 3.7007521801616696)	(41.0, 4.5126014514166135)	(42.0, 4.669621334843578)	(43.0, 4.013256273520615)	(44.0, 3.6542012427398305)	(45.0, 3.3034352069185284)	(46.0, 3.6126846436450233)	(47.0, 3.9544090223986292)	(48.0, 3.9906727683607945)	(49.0, 3.8200127051791806)	(50.0, 3.6533114018925392)	(51.0, 3.427227486210168)	(52.0, 3.1955532334176002)	(53.0, 3.100751798974731)	(54.0, 2.6790825646174685)	(55.0, 2.3455075741419824)	(56.0, 2.004044199183966)	(57.0, 1.6677462714363478)	(58.0, 1.5648804266953178)	(59.0, 1.4854199455774308)	(60.0, 1.5101716031973622)	(61.0, 1.4823583103566027)	(62.0, 1.462456467450077)	(63.0, 1.4805021484800578)	(64.0, 1.4971420509272793)	(65.0, 1.4554809892665406)	(66.0, 1.1791301704958128)	(67.0, 0.9519014800262718)	(68.0, 0.8329444477943303)	(69.0, 0.694018804243038)	(70.0, 0.555203632065693)	(71.0, 0.43164200729108637)	(72.0, 0.3623036175575238)	(73.0, 0.25948997357561154)	(74.0, 0.223580707186992)	(75.0, 0.2803035088099889)	(76.0, 0.33852435082255833)	(77.0, 0.34996602883854)	(78.0, 0.2492659086153359)	(79.0, 0.13729770824949597)	(80.0, 0.11216000780632004)	(81.0, 0.08926936794750294)	(82.0, 0.08421560608219451)	(83.0, 0.0781906673030627)	(84.0, 0.07130866489748178)	(85.0, 0.06145971702017041)	(86.0, 0.05666210306588291)	(87.0, 0.03882401110123195)	(88.0, 0.01937376545963418)	(89.0, 0.011112691836424042)	(90.0, 0.004148139393168118)	(91.0, 0.0035654332448740887)	(92.0, 0.002510492322233441)	(93.0, 0.0013669315062064093)	(94.0, 0.00114598875831159)	(95.0, 0.0009638930869697059)	(96.0, 0.0008522077418800172)	(97.0, 0.0007611599062090752)	(98.0, 0.000717456945087023)	(99.0, 0.0007053172336642307)	(100.0, 0.000701675320237393)
PC3_Normoxia_S1	(0.0, 0.00020673581404118073)	(1.0, 0.0002396772349598304)	(2.0, 0.00043164620514092675)	(3.0, 0.0006315665527851455)	(4.0, 0.0007224394380779721)	(5.0, 0.0008314869004293641)	(6.0, 0.0010245917816766208)	(7.0, 0.0012517739949086876)	(8.0, 0.0016220810024769564)	(9.0, 0.002141192359712229)	(10.0, 0.002561479454191552)	(11.0, 0.0030839985446253055)	(12.0, 0.0035474502596187217)	(13.0, 0.004331228895269352)	(14.0, 0.005139997574375509)	(15.0, 0.006643943825971791)	(16.0, 0.01027885923768486)	(17.0, 0.012654049277026116)	(18.0, 0.015536991562941044)	(19.0, 0.01845401118084078)	(20.0, 0.024274419483846326)	(21.0, 0.02995624663678032)	(22.0, 0.03680124672146249)	(23.0, 0.056134453067511365)	(24.0, 0.06853973782104837)	(25.0, 0.08689378882806703)	(26.0, 0.10529895583306292)	(27.0, 0.13135675569078098)	(28.0, 0.19556867234975847)	(29.0, 0.23384092390189856)	(30.0, 0.30173319241523555)	(31.0, 0.3699582828709575)	(32.0, 0.5131659987149892)	(33.0, 0.6562658030077357)	(34.0, 1.0177831307460559)	(35.0, 1.7055454757962853)	(36.0, 2.03369995961041)	(37.0, 2.323390222902214)	(38.0, 2.6126954123425894)	(39.0, 2.7769572397979028)	(40.0, 2.940790828781274)	(41.0, 4.192169526638938)	(42.0, 4.5538697360589095)	(43.0, 3.6637425627500844)	(44.0, 3.2872902763138883)	(45.0, 2.9136823111873578)	(46.0, 3.4373588949975282)	(47.0, 4.0907622021185395)	(48.0, 4.221278383620362)	(49.0, 3.933523712785296)	(50.0, 3.6485315776631313)	(51.0, 3.537955179016687)	(52.0, 3.4269789396749553)	(53.0, 3.492951518486481)	(54.0, 3.1048515999778767)	(55.0, 2.651108516866933)	(56.0, 2.288977797152887)	(57.0, 1.9293892464049067)	(58.0, 1.7913556054672355)	(59.0, 1.6297404507960755)	(60.0, 1.6074050315021646)	(61.0, 1.5865394811278657)	(62.0, 1.5684171559783435)	(63.0, 1.559996647244897)	(64.0, 1.5527154573108093)	(65.0, 1.6492531310905778)	(66.0, 1.5217755116907343)	(67.0, 1.303609024590782)	(68.0, 1.1052982629273127)	(69.0, 0.8943663934077356)	(70.0, 0.7131317828018543)	(71.0, 0.540681172470591)	(72.0, 0.4626452181364422)	(73.0, 0.3266403143629332)	(74.0, 0.26817042814339614)	(75.0, 0.3846263024682859)	(76.0, 0.502707665528851)	(77.0, 0.5479884883592004)	(78.0, 0.4020386832014577)	(79.0, 0.2125164654568706)	(80.0, 0.1881136880225482)	(81.0, 0.16456738753211064)	(82.0, 0.1511352391747647)	(83.0, 0.13711128115194923)	(84.0, 0.13053549198994704)	(85.0, 0.12193096566378253)	(86.0, 0.11896396595897174)	(87.0, 0.08245805611471094)	(88.0, 0.04480374018256204)	(89.0, 0.024298273616235693)	(90.0, 0.004775370122138042)	(91.0, 0.004744700523351714)	(92.0, 0.0031328427204702003)	(93.0, 0.001269948571967253)	(94.0, 0.0010404945366028655)	(95.0, 0.0008610205881495328)	(96.0, 0.0007065366831517275)	(97.0, 0.00048730584738278313)	(98.0, 0.00040097660635459776)	(99.0, 0.0003407733198481001)	(100.0, 0.0002953368772016867)
PC3_Normoxia_S2	(0.0, 0.00033253534949826514)	(1.0, 0.0003577862814111007)	(2.0, 0.0005061840658834573)	(3.0, 0.0006398197670836948)	(4.0, 0.0006914870585361121)	(5.0, 0.0008056989659572453)	(6.0, 0.0010115911800157504)	(7.0, 0.0012345763325998676)	(8.0, 0.0015131135353922227)	(9.0, 0.0019361637639011137)	(10.0, 0.0023471712402669603)	(11.0, 0.0028848218520725667)	(12.0, 0.0033797401175641433)	(13.0, 0.0041135710465387025)	(14.0, 0.004817877808969024)	(15.0, 0.00641373670586023)	(16.0, 0.009851748204761687)	(17.0, 0.01197593429244453)	(18.0, 0.014992060990463841)	(19.0, 0.017973224859680767)	(20.0, 0.02410842436274864)	(21.0, 0.03019972609187574)	(22.0, 0.03698989592117501)	(23.0, 0.056807215762243936)	(24.0, 0.06992371522539748)	(25.0, 0.08854491784554916)	(26.0, 0.10719797548749857)	(27.0, 0.13446548567048075)	(28.0, 0.20041742354392697)	(29.0, 0.23932910962160656)	(30.0, 0.3113606949479124)	(31.0, 0.38362303494431405)	(32.0, 0.5289557447583281)	(33.0, 0.6742845698135862)	(34.0, 1.0677624607696665)	(35.0, 1.8328796828601046)	(36.0, 2.206963692679501)	(37.0, 2.5404414846519283)	(38.0, 2.8731671873292286)	(39.0, 3.1015183571827607)	(40.0, 3.3292790437054083)	(41.0, 4.440159607333557)	(42.0, 4.65284742988362)	(43.0, 3.7539072612209137)	(44.0, 3.288582699455305)	(45.0, 2.8268985451197755)	(46.0, 3.392264191317034)	(47.0, 4.113943594903386)	(48.0, 4.2722354714509425)	(49.0, 3.9549124487645964)	(50.0, 3.6403320657598597)	(51.0, 3.617208039265836)	(52.0, 3.5927158007380124)	(53.0, 3.4450413583459896)	(54.0, 2.9333168495249806)	(55.0, 2.568412913121465)	(56.0, 2.164683920760525)	(57.0, 1.7638712167975787)	(58.0, 1.6426958793066369)	(59.0, 1.5885318534018533)	(60.0, 1.6563185628356736)	(61.0, 1.576239699746685)	(62.0, 1.4990172997708513)	(63.0, 1.530752670998903)	(64.0, 1.56425677288848)	(65.0, 1.6226792713413942)	(66.0, 1.4264503946879934)	(67.0, 1.178340564850605)	(68.0, 1.0259022427963191)	(69.0, 0.8597452836717272)	(70.0, 0.6603592635774708)	(71.0, 0.47146209212393053)	(72.0, 0.40065187495045473)	(73.0, 0.2697786257014816)	(74.0, 0.2093531456340661)	(75.0, 0.2969901953583799)	(76.0, 0.38626428242239663)	(77.0, 0.4366410570161303)	(78.0, 0.32739969842307)	(79.0, 0.16910044083387715)	(80.0, 0.13720152126220536)	(81.0, 0.10621241219114681)	(82.0, 0.1025762779956985)	(83.0, 0.09842191698222368)	(84.0, 0.09229021376203604)	(85.0, 0.08871895503780992)	(86.0, 0.09061899054528191)	(87.0, 0.06458916450190427)	(88.0, 0.037466167344638646)	(89.0, 0.020309130299555847)	(90.0, 0.003987316386974525)	(91.0, 0.003931764336766287)	(92.0, 0.0025759835309848086)	(93.0, 0.0010383960154309144)	(94.0, 0.0008845595687004085)	(95.0, 0.0007757863235374247)	(96.0, 0.0006425390982127693)	(97.0, 0.0004510204915508012)	(98.0, 0.00039119520671116007)	(99.0, 0.00034574352926805606)	(100.0, 0.0003076728934610117)
