Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57
LNCAP_Hypoxia_S1	(1, 0.02837713184394293)	(2, 0.0005758024233657606)	(3, 0.00048843929706199)	(4, 9.927627989064836e-06)	(5, 0.0)	(6, 0.0012250692938506008)	(7, 3.5739460760633414e-05)	(8, 7.147892152126683e-05)	(9, 0.0)	(10, 0.0003663294727964925)	(12, 0.0004437649711111982)	(14, 0.0004507143107035436)	(16, 0.00043780839431775925)	(18, 0.0004298662919265075)	(20, 0.0001221098242654975)	(22, 0.0006800425172509414)	(24, 0.000937169263758933)	(26, 0.004750427481388773)	(28, 0.0026229420961705395)	(30, 0.0048657266928564084)	(32, 0.002586323973544358)	(34, 0.015110530717403496)	(36, 0.008576666116434845)	(38, 0.01851013968810663)	(40, 0.011417088577472964)	(42, 0.013837164879208153)	(44, 0.021084628104567005)	(46, 0.02732806733127361)	(48, 0.020790226416846583)	(50, 0.02460189791517237)	(52, 0.015594379067983657)	(54, 0.031811531616156796)	(56, 0.02231182283401701)	(58, 0.02495185731545802)	(60, 0.02756497007136056)	(62, 0.03819935562819498)	(64, 0.02918288198582555)	(66, 0.03804951698773435)	(68, 0.04021457599170447)	(70, 0.03406218612298314)	(72, 0.02858023222387119)	(74, 0.01780305070756947)	(76, 0.0)															
LNCAP_Hypoxia_S2	(1, 0.017102137767220905)	(2, 0.0017627203400425052)	(3, 0.0010001250156269534)	(4, 1.2501562695336917e-05)	(5, 0.0)	(6, 0.0029128641080135016)	(7, 0.0)	(8, 7.50093761720215e-05)	(9, 0.0)	(10, 0.00032504063007875986)	(12, 0.0008188523565445681)	(14, 0.00041255156894611823)	(16, 0.0005875734466808351)	(18, 0.0009751218902362796)	(20, 0.0002437804725590699)	(22, 0.0005000625078134767)	(24, 0.00013126652317360448)	(26, 0.0031504761157029855)	(28, 0.0012127302671594768)	(30, 0.004276038810178448)	(32, 0.003276024986317594)	(34, 0.01605626194215744)	(36, 0.00577749371072289)	(38, 0.0221723362026479)	(40, 0.006427976554893451)	(42, 0.015651475959820665)	(44, 0.028358817394166735)	(46, 0.029290945258325)	(48, 0.01737207852979937)	(50, 0.028928729016978523)	(52, 0.014595726516357783)	(54, 0.039947535403409444)	(56, 0.029391929751536885)	(58, 0.02797922283174625)	(60, 0.02712901987754168)	(62, 0.052625983414841586)	(64, 0.015403204679572381)	(66, 0.03961809036426755)	(68, 0.04699141734344772)	(70, 0.027954716611092854)	(72, 0.017310678524814993)	(74, 0.02133203052225201)	(76, 0.0)															
LNCAP_Normoxia_S1	(1, 0.02800310471418699)	(2, 0.0007111726385585291)	(3, 0.0005038230713061702)	(4, 3.637711706181735e-06)	(5, 0.0)	(6, 0.001298663079106879)	(7, 3.092054950254474e-05)	(8, 7.093537827054382e-05)	(9, 0.0)	(10, 0.00036922773817744606)	(12, 0.0004128802786516269)	(14, 0.00046653652631780746)	(16, 0.0004801779452159889)	(18, 0.00043015940925599015)	(20, 0.0001564216033658146)	(22, 0.0007002595034399839)	(24, 0.0009030630315624076)	(26, 0.004652690606142183)	(28, 0.002594658659148068)	(30, 0.004826533064739087)	(32, 0.0026247910330735496)	(34, 0.015069072022114936)	(36, 0.008541615595245553)	(38, 0.018337101580420758)	(40, 0.011445637501588068)	(42, 0.013612557682246701)	(44, 0.02074925231738493)	(46, 0.026678764533049574)	(48, 0.0203185951350719)	(50, 0.02412052508313553)	(52, 0.01503131280909746)	(54, 0.031279932461400366)	(56, 0.021984522644972603)	(58, 0.024799591823827485)	(60, 0.027447174174226933)	(62, 0.037605539164186685)	(64, 0.029028442378614662)	(66, 0.03761474585373983)	(68, 0.040000162300512974)	(70, 0.033803823015238786)	(72, 0.0283289902341176)	(74, 0.01746124902325769)	(76, 0.0)															
LNCAP_Normoxia_S2	(1, 0.02825661495792541)	(2, 0.0006158704326089698)	(3, 0.000536451617698324)	(4, 1.0489277441028682e-05)	(5, 0.0)	(6, 0.0012287439288062173)	(7, 4.345557796997597e-05)	(8, 7.642187849892326e-05)	(9, 0.0)	(10, 0.0003866047971122)	(12, 0.0004218187999499392)	(14, 0.00045553433458181706)	(16, 0.00045253739817009464)	(18, 0.00045778203689060895)	(20, 0.00013860830904216474)	(22, 0.0006810537995639338)	(24, 0.0009425375819441087)	(26, 0.004822129829701869)	(28, 0.002715286885344164)	(30, 0.00490843082898564)	(32, 0.0026299935963777004)	(34, 0.014977343396187847)	(36, 0.008488489872249202)	(38, 0.01839446786847204)	(40, 0.0113584183494248)	(42, 0.013642760688051972)	(44, 0.02104597719781571)	(46, 0.027079186201394594)	(48, 0.020494178296128585)	(50, 0.024373660734905666)	(52, 0.015188835311174612)	(54, 0.03176953840664684)	(56, 0.022171143600807772)	(58, 0.025174699930977748)	(60, 0.027601805576455134)	(62, 0.03834071747845419)	(64, 0.029274065021417443)	(66, 0.03799531803304383)	(68, 0.04046797962212037)	(70, 0.03414742411349585)	(72, 0.028736085333911515)	(74, 0.017705089291265397)	(76, 0.0)															
PC3_Hypoxia_S1	(1, 3.6089607218898636e-05)	(2, 0.0)	(3, 0.0027400469183758345)	(4, 0.0005677242726723325)	(5, 0.0034549621119471297)	(6, 0.001338140013698445)	(7, 0.0012451845403051451)	(8, 0.0022988551062999765)	(9, 0.006925873510005347)	(10, 0.0019282925341663518)	(11, 5.553179951448825e-06)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0005470654120003769)	(17, 0.0)	(18, 0.0007998121774403311)	(19, 1.3885967435628958e-06)	(20, 2.7772849639902788e-06)	(21, 0.6197472062750857)	(22, 8.332390153059063e-06)	(23, 8.33272018400646e-06)	(24, 0.00033610273655125875)	(25, 0.0)	(26, 0.00020140984670238184)	(27, 0.00018058822697561923)	(28, 0.0011280625665732306)	(29, 0.0019117513619526494)	(30, 0.002887327197184092)	(31, 0.0005669554123335397)	(32, 0.0)	(33, 0.002264081460900439)	(34, 0.18303835411209196)	(35, 1.6681910225521632e-05)	(36, 0.0)	(37, 0.0)	(38, 0.9297310025862159)	(39, 1.390957474479686e-06)	(40, 0.0002351194859837275)	(41, 0.0030098856584375353)	(42, 0.0035979776999151584)	(43, 0.0024697431749712384)	(44, 0.00734435400488153)	(45, 0.10621145109296916)	(46, 0.00022852205188334012)	(47, 9.757797253659598e-06)	(48, 1.5340955026609653e-05)	(49, 0.0006823681675166127)	(50, 4.747784690645381e-05)	(51, 0.0001844827660183136)	(52, 0.18606352566451484)	(53, 0.2810670121674984)	(54, 0.001402676826895653)	(55, 0.0005292295001193722)	(56, 0.0)	(57, 0.0)	(58, 0.0)
PC3_Hypoxia_S2	(1, 2.9231491152233137e-05)	(2, 0.0)	(3, 0.002706044514181699)	(4, 0.0004259611102517647)	(5, 0.0036458576729831048)	(6, 0.0013949441460605087)	(7, 0.0011529281974280929)	(8, 0.002268495065333911)	(9, 0.0036474577115298812)	(10, 0.001855238342762387)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0005519258532773691)	(17, 0.0)	(18, 0.0009451122308228364)	(19, 0.0)	(20, 0.0)	(21, 0.6269324596503073)	(22, 4.183002861466767e-06)	(23, 4.183295090346833e-06)	(24, 0.00035979164382233777)	(25, 0.0)	(26, 0.00024269654947436112)	(27, 0.00022180011382112258)	(28, 0.0012514089336953741)	(29, 0.00205521478940934)	(30, 0.003026651740766399)	(31, 0.0006196366626453084)	(32, 0.0)	(33, 0.0022865042603730343)	(34, 0.19017232194013797)	(35, 1.6755255191542517e-05)	(36, 0.0)	(37, 0.0)	(38, 0.9678180731008617)	(39, 0.0)	(40, 0.00017608849838981742)	(41, 0.002927125724411197)	(42, 0.003427145678440611)	(43, 0.00254269599874896)	(44, 0.006946223845945766)	(45, 0.058987338126463895)	(46, 0.00025619825477748846)	(47, 1.2605316367810022e-05)	(48, 8.407741495243677e-06)	(49, 0.0007403401282395296)	(50, 2.9467693893637117e-05)	(51, 0.00021067586460637468)	(52, 0.18735134738289116)	(53, 0.28378896883710303)	(54, 0.0013085311488005723)	(55, 0.0005137195165313454)	(56, 0.0)	(57, 0.0)	(58, 0.0)
PC3_Normoxia_S1	(1, 0.07247477153356027)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0015425983756707049)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.02371993963742411)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 1.9142975129216998e-05)	(18, 0.0)	(19, 0.0)	(20, 3.0629969257848476e-05)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.00088072208489127)	(27, 0.0)	(28, 0.0014896628123332745)	(29, 0.000658690209071719)	(30, 0.00035233577170112613)	(31, 0.0)	(32, 5.7450755988752976e-05)	(33, 0.0)	(34, 4.2134309623591225e-05)	(35, 0.0)	(36, 7.278506337108159e-05)	(37, 4.5972289206614446e-05)	(38, 9.961295386774687e-05)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 3.066592199586087e-05)	(45, 0.0010159429044688186)	(46, 0.00011886464327090958)	(47, 0.001641369380668381)	(48, 0.001419214911790807)	(49, 0.0)	(50, 0.0)	(51, 0.0008368743418971811)	(52, 0.0005875843879673009)	(53, 0.0021593333669144253)	(54, 8.073395313686201e-05)	(55, 3.847535407329339e-05)	(56, 0.0)	(57, 0.0)	(58, 0.0)
PC3_Normoxia_S2	(1, 0.07220261325935959)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0015083191692256916)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.024042804399001964)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 1.8415692211275027e-05)	(18, 0.0)	(19, 0.0)	(20, 4.3410308580205346e-05)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0008933131968171843)	(27, 0.0)	(28, 0.0014275587546672126)	(29, 0.0007473577122033081)	(30, 0.00037237597146542144)	(31, 0.0)	(32, 7.895556733338678e-05)	(33, 0.0)	(34, 6.711847401648438e-05)	(35, 0.0)	(36, 7.502260747047749e-05)	(37, 6.0548329090540806e-05)	(38, 0.00010794092135369184)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 2.8975423875219812e-05)	(45, 0.0009997905445395423)	(46, 0.0001040791024365761)	(47, 0.0016760922920191824)	(48, 0.0013917563294039983)	(49, 0.0)	(50, 0.0)	(51, 0.0008745714319672005)	(52, 0.0005964900991749249)	(53, 0.002121696833578061)	(54, 0.00010436072890975681)	(55, 2.776247903602327e-05)	(56, 0.0)	(57, 0.0)	(58, 0.0)
