"","LNCAP_Hypoxia_S1","LNCAP_Hypoxia_S2","LNCAP_Normoxia_S1","LNCAP_Normoxia_S2","PC3_Hypoxia_S1","PC3_Hypoxia_S2","PC3_Normoxia_S1","PC3_Normoxia_S2"
"ENSG00000000003",329.427127162117,326.990256332907,200.234484468598,166.938168974932,1363.43897532955,1199.95311579629,1073.26021439039,1119.03453815552
"ENSG00000000419",2374.68815803233,2320.54557091665,2667.29465674479,2480.8388719316,4127.0980704394,3711.56669450505,3213.6124810195,2830.08942326053
"ENSG00000000457",413.271469871687,389.745962093768,317.48408901037,281.385470385582,115.416694655804,90.0865702549768,95.606513350868,117.243245180194
"ENSG00000000460",215.290634828444,241.585874808728,299.280954058679,218.998783526393,563.132004694251,576.554049631852,579.807242256877,546.748202771005
"ENSG00000000938",1.0818624865751,0.943694823471592,1.0707726442171,0.430253012821991,0,0,0,1.16082420970489
"ENSG00000000971",0,0,1.60615896632565,0,27.902937169535,18.0173140509954,30.8408107583445,24.3773084038028
"ENSG00000001036",120.086736009836,128.342495992137,210.40682458866,235.348398013629,1261.97374925851,1217.97042984729,1039.33532255621,994.826347717095
"ENSG00000001084",790.841477686395,939.920044177706,578.217227877234,449.61439839898,1188.41146035701,1091.84923149032,1097.93286299706,1231.63448649689
"ENSG00000001167",3123.87792998559,2966.97652499469,2456.88783215613,2131.47342552014,2875.27084378799,2500.80319027816,2044.74575327824,2095.28769851733
"ENSG00000001460",159.033785526539,138.251291638588,235.034595405653,223.731566667435,389.372805047602,432.415537223889,388.594215555141,436.46990284904
"ENSG00000001461",906.60076374993,954.07546652978,1172.49604541772,1187.49831538869,1038.75025190223,926.089942221162,971.485538887852,987.861402458865
"ENSG00000001497",1205.73574128794,1130.54639851897,1501.75863351448,1535.14274974886,512.399391658733,526.105570289065,647.657025925235,666.313096370609
"ENSG00000001561",737.289284600928,735.13826748437,672.445220568338,583.42308538662,2206.86866704504,2053.97380181347,1585.21767297891,1766.77444717085
"ENSG00000001617",692.932922651349,578.484926788086,415.459785956234,434.985795963033,348.786714619187,324.311652917917,459.528080299333,442.274023897565
"ENSG00000001626",3.78651870301283,0.943694823471592,5.3538632210855,5.59328916668588,0,0,0,2.32164841940979
"ENSG00000001629",1335.01830843367,1358.92054579909,1349.70891803565,1187.49831538869,1651.34655430611,1491.83360342242,1424.84545703552,1442.90449266318
"ENSG00000001630",62.7480242213555,77.8548229364064,91.551061080562,84.3295905131102,124.294901937019,104.500421495773,126.447324109212,117.243245180194
"ENSG00000001631",270.465621643774,280.749209982799,292.856318193377,258.582060706017,143.319631825339,212.604305801745,117.195080881709,164.837037778095
"ENSG00000002016",260.18792802131,291.129853040986,331.404133385192,311.072928270299,206.735398119736,158.552363648759,215.885675308412,219.395775634225
"ENSG00000002330",365.128589219095,343.033068331924,298.210181414462,530.932217822337,383.031228418162,385.570520691301,496.537053209347,366.820450266747
"ENSG00000002549",1162.46124182494,1207.92937404364,2095.50206473286,2140.07848577658,981.676062237276,886.451851308972,1026.99899825287,1099.30052659054
"ENSG00000002586",4892.72309553587,5160.12329474267,4167.98251761506,4322.32176680972,5175.99484494874,5448.435769021,3580.6181290438,3531.22724592229
"ENSG00000002587",41.6517057331412,43.881809291429,133.311194205029,183.71803647499,73.5622889015013,61.2588677733843,49.3452972133512,48.7546168076056
"ENSG00000002726",2.16372497315019,1.88738964694318,1.60615896632565,1.72101205128796,1.26831532588795,0,0,0
"ENSG00000002746",0,1.41554223520739,0.53538632210855,0.430253012821991,21.5613605400952,32.4311652917917,30.8408107583445,52.2370894367203
"ENSG00000002822",0.540931243287548,2.35923705867898,1.60615896632565,0.860506025643982,2.53663065177591,7.20692562039815,9.25224322750335,3.48247262911468
"ENSG00000002834",2501.80700020491,2455.02208326135,2592.3405716496,2411.56813686726,10005.7396059301,9869.88463713526,9233.73874104834,9178.6370261366
"ENSG00000002919",182.293828987904,163.259204460585,194.880621247512,240.511434167493,532.69243687294,511.691719048268,484.200728906009,488.706992285761
"ENSG00000003056",1356.65555816517,1331.55339591842,1434.2999569288,1356.58774942774,3666.69960714207,3931.37792592719,4148.08904699734,3684.45604160334
"ENSG00000003096",38.4061182734159,44.3536567031648,65.8525176193516,91.2136387182621,355.128291248627,313.501264487319,357.753404796796,318.065833459141
"ENSG00000003137",29.2102871375276,41.5225722327501,17.6677486295821,15.4891084615917,837.088115086049,699.07178517862,601.395809787718,561.838917497169
"ENSG00000003147",1482.15160660788,1374.01966297464,1516.21406421141,1581.17982212082,44.3910364060784,72.0692562039815,43.1771350616823,77.7752220502279
"ENSG00000003249",1121.89139857837,1096.10153746225,833.061117200903,1011.09458013168,669.670492068839,526.105570289065,555.134593650201,496.832761753695
"ENSG00000003393",1046.16102451812,1010.22530852634,928.359882536225,797.258832759149,799.03865530941,774.744504192801,743.263539276103,898.477938311588
"ENSG00000003400",24.8828371912272,25.0079128219972,36.9416562254899,32.6992289744713,2.53663065177591,10.8103884305972,12.3363243033378,5.80412104852447
"ENSG00000003402",1517.31213742157,1558.51200096333,1537.62951709575,1277.42119506849,1086.94623428598,1012.57304966594,962.233295660349,1019.2036561209
"ENSG00000003436",5006.31865662625,4925.14328369824,2680.1439284754,2256.24679923852,3889.92310449835,3625.08358706027,1952.22332100321,2177.70621740638
"ENSG00000003509",467.905525443729,447.78319373727,485.060007830346,470.266543014436,474.349931882094,594.571363682847,641.488863773566,621.040952192119
"ENSG00000003756",2653.80867956871,2440.86666090927,2212.21628295253,2234.73414859742,1173.19167644636,1008.96958685574,937.560647053673,1110.90876868758
