Geneid,Genesymbol,Genetype,LNCAP_Hypoxia_S1,LNCAP_Hypoxia_S2,LNCAP_Normoxia_S1,LNCAP_Normoxia_S2,PC3_Hypoxia_S1,PC3_Hypoxia_S2,PC3_Normoxia_S1,PC3_Normoxia_S2
ENSG00000164989,CCDC171,protein_coding,267,329,414,478,74,21,55,108
ENSG00000165006,UBAP1,protein_coding,4108,4626,3922,4997,1470,454,499,1239
ENSG00000165023,DIRAS2,protein_coding,2,6,1,5,16,1,1,0
ENSG00000165025,SYK,protein_coding,2,4,3,4,87,32,43,119
ENSG00000165028,NIPSNAP3B,protein_coding,54,43,38,65,55,20,25,63
ENSG00000165029,ABCA1,protein_coding,17,14,54,42,1535,517,335,983
ENSG00000165030,NFIL3,protein_coding,918,1120,787,983,559,157,57,158
ENSG00000165046,LETM2,protein_coding,108,115,135,161,47,14,27,104
ENSG00000165055,METTL2B,protein_coding,1279,1458,1656,1924,457,136,242,609
ENSG00000165060,FXN,protein_coding,274,293,442,632,254,98,149,401
ENSG00000165061,ZMAT4,protein_coding,1,0,0,2,194,50,27,72
ENSG00000165071,TMEM71,protein_coding,3,3,2,11,269,107,78,226
ENSG00000165072,MAMDC2,protein_coding,5,3,10,9,1,1,0,1
ENSG00000165078,CPA6,protein_coding,0,0,0,1,14,6,0,8
ENSG00000165084,C8orf34,protein_coding,11,12,21,22,2,4,1,3
ENSG00000165091,TMC1,protein_coding,88,100,49,51,3,1,3,1
ENSG00000165092,ALDH1A1,protein_coding,3,0,1,2,16,2,23,39
ENSG00000165097,KDM1B,protein_coding,2120,2320,3225,3900,380,157,178,505
ENSG00000165102,HGSNAT,protein_coding,3096,3455,2626,3512,866,333,313,878
ENSG00000165105,RASEF,protein_coding,7673,9202,9853,10422,203,68,58,181
ENSG00000165113,GKAP1,protein_coding,463,446,725,725,318,102,125,333
ENSG00000165115,KIF27,protein_coding,715,807,653,636,200,71,97,270
ENSG00000165118,QNG1,protein_coding,229,324,269,429,158,39,55,160
ENSG00000165119,HNRNPK,protein_coding,29827,35764,35060,37233,4215,1344,1312,3594
ENSG00000165120,SSMEM1,protein_coding,1,1,0,3,0,0,0,0
ENSG00000165124,SVEP1,protein_coding,46,62,73,48,5,0,5,9
ENSG00000165125,TRPV6,protein_coding,1793,1867,1253,1474,0,0,0,0
ENSG00000165131,LLCFC1,protein_coding,4,2,0,1,0,0,0,0
ENSG00000165138,ANKS6,protein_coding,701,841,789,971,852,303,410,1083
ENSG00000165140,FBP1,protein_coding,0,0,8,25,69,25,29,88
ENSG00000165152,PGAP4,protein_coding,0,0,0,1,1,3,0,1
ENSG00000165156,ZHX1,protein_coding,4982,6089,4191,4931,827,228,235,733
ENSG00000165164,CFAP47,protein_coding,10,5,55,57,2,1,7,7
ENSG00000165168,CYBB,protein_coding,2,1,1,3,12,2,7,11
ENSG00000165169,DYNLT3,protein_coding,3905,4527,3040,3183,898,304,182,535
ENSG00000165171,METTL27,protein_coding,216,246,297,433,15,7,24,71
